Attempt_no,Model,Distance,Time_to_Target,FPS,Occluded_Frames_Count,Outcome
1,BYTETRACK,1.5m,21.60762095451355,10.663463048415933,2,Success
2,BYTETRACK,1.5m,14.951010465621948,10.561166730455453,2,Success
3,BYTETRACK,1.5m,21.40272855758667,13.073309503410185,1,Success
4,BYTETRACK,1.5m,11.4693124294281,10.65105569537307,2,Success
5,BYTETRACK,1.5m,13.10757851600647,5.593607052240471,2,Success
6,BYTETRACK,1.5m,11.979920387268066,13.785311308631444,2,Success
7,BYTETRACK,1.5m,21.078473329544067,12.912813376937665,1,Success
8,BYTETRACK,1.5m,15.665600538253784,10.84849214201597,2,Success
9,BYTETRACK,1.5m,22.118163108825684,10.31599362921008,1,Success
10,BYTETRACK,1.5m,11.573962926864624,11.3501473532338,1,Success
1,BYTETRACK,2.5m,NA,11.097826934947728,15,Failure
2,BYTETRACK,2.5m,15.973941326141357,11.644295656460908,4,Success
3,BYTETRACK,2.5m,NA,11.014343947640484,15,Failure
4,BYTETRACK,2.5m,NA,7.957394158107438,15,Failure
5,BYTETRACK,2.5m,NA,10.86513156926838,15,Failure
6,BYTETRACK,2.5m,16.66100311279297,11.797859624707597,5,Success
7,BYTETRACK,2.5m,NA,9.475639949639564,15,Failure
8,BYTETRACK,2.5m,NA,10.766483806383755,15,Failure
9,BYTETRACK,2.5m,NA,8.67868235027967,15,Failure
10,BYTETRACK,2.5m,NA,10.297883438192155,15,Failure
1,OCSORT,2.5m,NA,9.980622983619067,15,Failure
2,OCSORT,2.5m,16.282187461853027,10.80275350269223,6,Success
3,OCSORT,2.5m,NA,10.8996259852256,15,Failure
4,OCSORT,2.5m,16.48677921295166,11.909744428326562,6,Success
5,OCSORT,2.5m,23.552438259124756,10.335147783699155,7,Success
6,OCSORT,2.5m,NA,9.407358490225242,15,Failure
7,OCSORT,2.5m,21.605881929397583,11.037280201760904,6,Success
8,OCSORT,2.5m,15.052707195281982,11.392794813910655,6,Success
9,OCSORT,2.5m,16.485714435577393,11.54024564510919,0,Failure
10,OCSORT,2.5m,15.052684307098389,10.764161468101692,4,Success
1,OCSORT,1.5m,10.752436399459839,10.276778125471346,3,Success
2,OCSORT,1.5m,9.523496866226196,9.521678799565416,0,Success
3,OCSORT,1.5m,9.722181558609009,10.295919555250476,3,Success
4,OCSORT,1.5m,17.725968837738037,10.31019592180433,0,Success
5,OCSORT,1.5m,11.058963775634766,9.490414086313812,3,Success
6,OCSORT,1.5m,18.022667407989502,11.128902408007157,2,Success
7,OCSORT,1.5m,9.959922552108765,10.148925872040158,3,Success
8,OCSORT,1.5m,11.059525966644287,11.12951337371351,0,Success
9,OCSORT,1.5m,18.841623067855835,11.978357002001907,3,Success
10,OCSORT,1.5m,11.46898603439331,10.981440801401078,5,Success
10,OCSORT,3.5m,27.954793453216553,11.523600994577574,0,Success
9,OCSORT,3.5m,NA,8.944410727033445,15,Failure
8,OCSORT,3.5m,20.22951102256775,12.672710123433083,7,Success
7,OCSORT,3.5m,NA,13.46414602655194,15,Failure
6,OCSORT,3.5m,24.678901433944702,10.30282386085736,6,Success
5,OCSORT,3.5m,19.354599952697754,10.68953407472732,6,Success
4,OCSORT,3.5m,46.48646950721741,10.563308231556071,6,Success
3,OCSORT,3.5m,11.877602815628052,9.10018416014469,15,Failure
2,OCSORT,3.5m,26.418158292770386,10.271838054323503,0,Success
1,OCSORT,3.5m,34.404563665390015,9.388498245909274,5,Success
1,BYTETRACK,3.5m,19.967305421829224,9.944248223069183,4,Success
2,BYTETRACK,3.5m,18.3288733959198,9.433093716233705,4,Success
3,BYTETRACK,3.5m,NA,8.83730104871952,15,Failure
4,BYTETRACK,3.5m,41.98310971260071,10.167956654438152,0,Success
5,BYTETRACK,3.5m,NA,9.434212223149707,15,Failure
6,BYTETRACK,3.5m,NA,8.595690760461931,15,Failure
7,BYTETRACK,3.5m,20.274652004241943,9.140923013361693,4,Success
8,BYTETRACK,3.5m,20.172255516052246,9.782150973256682,3,Success
9,BYTETRACK,3.5m,43.51903700828552,10.279425627256977,6,Success
10,BYTETRACK,3.5m,44.03084707260132,10.453305488712388,2,Success
1,BoTSORT,3.5m,14.950376749038696,9.430393513563672,1,Success
2,BoTSORT,3.5m,13.721669912338257,9.653684008852816,2,Success
3,BoTSORT,3.5m,17.4079647064209,10.335205537159888,1,Success
