Attempt_no,Model,Distance,Time_to_Target,FPS,Occluded_Frames_Count,Outcome
1,BYTETRACK,1.5m,21.60762095,10.66346305,2,Success
2,BYTETRACK,1.5m,14.95101047,10.56116673,2,Success
3,BYTETRACK,1.5m,21.40272856,13.0733095,1,Success
4,BYTETRACK,1.5m,11.46931243,10.6510557,2,Success
5,BYTETRACK,1.5m,13.10757852,5.593607052,2,Success
6,BYTETRACK,1.5m,11.97992039,13.78531131,2,Success
7,BYTETRACK,1.5m,21.07847333,12.91281338,1,Success
8,BYTETRACK,1.5m,15.66560054,10.84849214,2,Success
9,BYTETRACK,1.5m,22.11816311,10.31599363,1,Success
10,BYTETRACK,1.5m,11.57396293,11.35014735,1,Success
1,BYTETRACK,2.5m,NA,11.09782693,15,Failure
2,BYTETRACK,2.5m,15.97394133,11.64429566,4,Success
3,BYTETRACK,2.5m,NA,11.01434395,15,Failure
4,BYTETRACK,2.5m,NA,7.957394158,15,Failure
5,BYTETRACK,2.5m,NA,10.86513157,15,Failure
6,BYTETRACK,2.5m,16.66100311,11.79785962,5,Success
7,BYTETRACK,2.5m,NA,9.47563995,15,Failure
8,BYTETRACK,2.5m,NA,10.76648381,15,Failure
9,BYTETRACK,2.5m,NA,8.67868235,15,Failure
10,BYTETRACK,2.5m,NA,10.29788344,15,Failure
1,OCSORT,2.5m,NA,9.980622984,15,Failure
2,OCSORT,2.5m,16.28218746,10.8027535,6,Success
3,OCSORT,2.5m,NA,10.89962599,15,Failure
4,OCSORT,2.5m,16.48677921,11.90974443,6,Success
5,OCSORT,2.5m,23.55243826,10.33514778,7,Success
6,OCSORT,2.5m,NA,9.40735849,15,Failure
7,OCSORT,2.5m,21.60588193,11.0372802,6,Success
8,OCSORT,2.5m,15.0527072,11.39279481,6,Success
9,OCSORT,2.5m,16.48571444,11.54024565,0,Failure
10,OCSORT,2.5m,15.05268431,10.76416147,4,Success
1,OCSORT,1.5m,10.7524364,10.27677813,3,Success
2,OCSORT,1.5m,9.523496866,9.5216788,0,Success
3,OCSORT,1.5m,9.722181559,10.29591956,3,Success
4,OCSORT,1.5m,17.72596884,10.31019592,0,Success
5,OCSORT,1.5m,11.05896378,9.490414086,3,Success
6,OCSORT,1.5m,18.02266741,11.12890241,2,Success
7,OCSORT,1.5m,9.959922552,10.14892587,3,Success
8,OCSORT,1.5m,11.05952597,11.12951337,0,Success
9,OCSORT,1.5m,18.84162307,11.978357,3,Success
10,OCSORT,1.5m,11.46898603,10.9814408,5,Success
10,OCSORT,3.5m,27.95479345,11.52360099,0,Success
9,OCSORT,3.5m,NA,8.944410727,15,Failure
8,OCSORT,3.5m,20.22951102,12.67271012,7,Success
7,OCSORT,3.5m,NA,13.46414603,15,Failure
6,OCSORT,3.5m,24.67890143,10.30282386,6,Success
5,OCSORT,3.5m,19.35459995,10.68953407,6,Success
4,OCSORT,3.5m,46.48646951,10.56330823,6,Success
3,OCSORT,3.5m,11.87760282,9.10018416,15,Failure
2,OCSORT,3.5m,26.41815829,10.27183805,0,Success
1,OCSORT,3.5m,34.40456367,9.388498246,5,Success
1,BYTETRACK,3.5m,19.96730542,9.944248223,4,Success
2,BYTETRACK,3.5m,18.3288734,9.433093716,4,Success
3,BYTETRACK,3.5m,NA,8.837301049,15,Failure
4,BYTETRACK,3.5m,41.98310971,10.16795665,0,Success
5,BYTETRACK,3.5m,NA,9.434212223,15,Failure
6,BYTETRACK,3.5m,NA,8.59569076,15,Failure
7,BYTETRACK,3.5m,20.274652,9.140923013,4,Success
8,BYTETRACK,3.5m,20.17225552,9.782150973,3,Success
9,BYTETRACK,3.5m,43.51903701,10.27942563,6,Success
10,BYTETRACK,3.5m,44.03084707,10.45330549,2,Success
1,BoTSORT,3.5m,14.95037675,9.430393514,1,Success
2,BoTSORT,3.5m,13.72166991,9.653684009,2,Success
3,BoTSORT,3.5m,17.40796471,10.33520554,1,Success
4,BoTSORT,3.5m,22.22122121,10.16004378,6,Success
5,BoTSORT,3.5m,19.67234516,10.13834638,4,Success
6,BoTSORT,3.5m,31.33565927,9.929830531,3,Success
7,BoTSORT,3.5m,31.87059355,9.130364826,0,Success
8,BoTSORT,3.5m,NA,9.367947292,15,Failure
9,BoTSORT,3.5m,NA,7.694130159,15,Failure
10,BoTSORT,3.5m,NA,8.899287909,15,Failure
1,BoTSORT,2.5m,NA,9.598199449,15,Failure
2,BoTSORT,2.5m,15.5657649,10.05975888,3,Success
3,BoTSORT,2.5m,15.97469044,9.813097556,3,Success
4,BoTSORT,2.5m,19.96933484,9.652698749,3,Success
5,BoTSORT,2.5m,NA,8.425715251,15,Failure
6,BoTSORT,2.5m,NA,9.580567819,15,Failure
7,BoTSORT,2.5m,17.40791655,7.79064353,0,Success
8,BoTSORT,2.5m,23.75649691,8.291797041,3,Success
9,BoTSORT,2.5m,20.07041192,10.25195585,4,Success
10,BoTSORT,2.5m,NA,10.49912818,15,Failure
1,BoTSORT,1.5m,10.03502107,10.04763719,0,Success
2,BoTSORT,1.5m,10.34214377,9.975420851,1,Success
3,BoTSORT,1.5m,9.680048704,9.24286507,0,Success
4,BoTSORT,1.5m,21.40152144,9.006823271,0,Success
5,BoTSORT,1.5m,21.81202698,10.49505107,0,Success
6,BoTSORT,1.5m,31.43685031,9.724122289,0,Success
7,BoTSORT,1.5m,NA,5.476505492,15,Failure
8,BoTSORT,1.5m,NA,9.824709842,15,Failure
9,BoTSORT,1.5m,9.523079634,7.575520547,0,Success
10,BoTSORT,1.5m,NA,10.35318556,15,Failure
1,Default,1.5m,20.34,NA,NA,Success
2,Default,1.5m,20.58,NA,NA,Success
3,Default,1.5m,NA,NA,NA,Failure
4,Default,1.5m,12.97,NA,NA,Success
5,Default,1.5m,5.18,NA,NA,Success
6,Default,1.5m,20.34,NA,NA,Success
7,Default,1.5m,7.85,NA,NA,Success
8,Default,1.5m,7.64,NA,NA,Success
9,Default,1.5m,5.88,NA,NA,Success
10,Default,1.5m,8.46,NA,NA,Success
1,Default,2.5m,NA,NA,NA,Failure
2,Default,2.5m,NA,NA,NA,Failure
3,Default,2.5m,NA,NA,NA,Failure
4,Default,2.5m,NA,NA,NA,Failure
5,Default,2.5m,NA,NA,NA,Failure
6,Default,2.5m,NA,NA,NA,Failure
7,Default,2.5m,NA,NA,NA,Failure
8,Default,2.5m,NA,NA,NA,Failure
9,Default,2.5m,6.97,NA,NA,Success
10,Default,2.5m,NA,NA,NA,Failure
1,Default,3.5m,NA,NA,NA,Failure
2,Default,3.5m,NA,NA,NA,Failure
3,Default,3.5m,NA,NA,NA,Failure
4,Default,3.5m,NA,NA,NA,Failure
5,Default,3.5m,NA,NA,NA,Failure
6,Default,3.5m,NA,NA,NA,Failure
7,Default,3.5m,NA,NA,NA,Failure
8,Default,3.5m,NA,NA,NA,Failure
9,Default,3.5m,NA,NA,NA,Failure
10,Default,3.5m,NA,NA,NA,Failure
