Time,Group,Participant,Success,Invested,Photo,Emotion,false_alarm,Notes,Survey,I1,I2,I3
27/07/2023 12:02:22,0,0,0,0,0,N,,,0,,,
27/07/2023 12:02:34,1,0,0,0,0,N,,,0,,,
27/07/2023 12:02:40,2,0,0,0,0,N,,,0,,,
27/07/2023 12:02:52,3,0,0,0,0,N,,,0,,,
27/07/2023 12:04:15,4,0,0,0,0,N,,,0,,,
27/07/2023 12:05:44,5,0,0,0,0,N,,,0,,,
27/07/2023 12:05:45,6,0,0,0,0,N,,,0,,,
27/07/2023 12:06:09,7,0,0,0,0,N,,,0,,,
27/07/2023 12:06:18,8,0,0,0,0,N,,,0,,,
27/07/2023 12:08:09,9,0,0,0,0,N,,,0,,,
27/07/2023 12:08:22,10,0,0,0,0,N,,,0,,,
27/07/2023 12:08:38,11,0,0,0,0,N,,,0,,,
27/07/2023 12:11:56,12,0,0,0,0,N,,,0,,,
27/07/2023 12:11:58,13,0,0,0,0,N,,,0,,,
27/07/2023 12:13:03,14,0,0,0,0,N,,,0,,,
27/07/2023 12:13:13,15,0,0,0,0,N,,,0,,,
27/07/2023 12:15:03,16,0,0,0,0,N,,,0,,,
27/07/2023 12:15:23,17,0,0,0,0,N,,,0,,,
27/07/2023 12:15:28,18,0,0,0,0,N,,,0,,,
27/07/2023 12:17:13,19,0,0,0,0,N,,,0,,,
27/07/2023 12:19:00,20,0,0,0,0,N,,,0,,,
27/07/2023 12:19:55,21,0,0,0,0,N,,,0,,,
27/07/2023 12:22:56,22,0,0,0,0,N,,,0,,,
27/07/2023 12:26:02,23,0,0,0,0,N,,,0,,,
27/07/2023 12:26:55,24,0,0,0,0,N,,,0,,,
27/07/2023 12:27:52,25,0,0,0,0,N,,,0,,,
27/07/2023 12:28:21,26,0,0,0,0,N,,,0,,,
27/07/2023 12:28:38,27,0,0,0,0,N,,,0,,,
27/07/2023 12:29:53,28,0,0,0,0,N,,,0,,,
27/07/2023 12:31:38,29,0,0,0,0,N,,,0,,,
27/07/2023 12:35:14,30,0,0,0,0,N,,,0,,,
27/07/2023 12:35:47,31,0,0,0,0,N,,,0,,,
27/07/2023 12:37:11,32,0,0,0,0,N,,,0,,,
27/07/2023 12:37:11,32,0,0,0,0,N,,,0,,,
27/07/2023 12:37:11,32,0,0,0,0,N,,,0,,,
27/07/2023 12:39:41,33,0,0,0,0,N,,,0,,,
27/07/2023 12:45:33,34,0,0,0,0,N,,,0,,,
27/07/2023 12:50:44,35,0,0,0,0,N,,,0,,,
27/07/2023 12:52:50,36,0,0,0,0,N,,,0,,,
27/07/2023 12:54:24,37,1,1,1,0,P,,,1,,,
27/07/2023 13:00:19,38,1,1,1,0,P,,,1,,,
27/07/2023 13:11:16,39,1,1,1,0,P,,,1,,,
27/07/2023 13:17:48,40,1,1,1,0,N,,,1,,,
27/07/2023 13:28:57,41,0,0,0,0,N,,,0,,,
27/07/2023 13:29:29,42,0,0,0,0,N,,,0,,,
27/07/2023 13:30:27,43,0,0,0,0,N,,,0,,,
27/07/2023 13:31:51,44,0,0,0,0,N,,,0,,,
27/07/2023 13:32:20,45,0,0,0,0,N,,,0,,,
27/07/2023 13:34:14,46,0,0,0,0,N,,,0,,,
27/07/2023 13:35:29,47,0,0,0,0,N,,,0,,,
27/07/2023 13:36:34,48,0,0,0,0,N,,,0,,,
27/07/2023 13:37:03,49,0,0,0,0,N,,,0,,,
27/07/2023 13:37:03,49,0,0,0,0,N,,,0,,,
27/07/2023 13:37:14,50,0,0,0,0,N,,,0,,,
27/07/2023 13:37:57,51,0,0,0,0,N,,,0,,,
27/07/2023 13:38:24,52,0,0,0,0,N,,,0,,,
27/07/2023 13:38:49,53,0,0,0,0,N,,,0,,,
27/07/2023 13:40:26,54,0,0,0,0,N,,,0,,,
27/07/2023 13:40:31,55,0,0,0,0,N,,,0,,,
27/07/2023 13:40:33,56,0,0,0,0,N,,,0,,,
27/07/2023 13:41:17,57,0,0,0,0,N,,,0,,,
27/07/2023 13:41:58,58,0,0,0,0,N,,,0,,,
27/07/2023 13:42:02,59,0,0,0,0,N,,,0,,,
27/07/2023 13:44:02,60,0,0,0,0,N,,,0,,,
27/07/2023 13:45:21,61,0,0,0,0,N,,,0,,,
27/07/2023 13:45:27,62,0,0,0,0,N,,,0,,,
27/07/2023 13:47:48,63,0,0,0,0,N,,,0,,,
27/07/2023 13:47:48,63,0,0,0,0,N,,,0,,,
27/07/2023 13:49:05,64,0,0,0,0,N,,,0,,,
27/07/2023 13:49:05,64,0,0,0,0,N,,,0,,,
27/07/2023 13:49:15,65,0,0,0,0,N,,,0,,,
27/07/2023 13:50:21,66,0,0,0,0,N,,,0,,,
27/07/2023 13:51:06,67,0,0,0,0,N,,,0,,,
27/07/2023 13:51:23,68,0,0,0,0,N,,,0,,,
27/07/2023 13:52:32,69,0,0,0,0,N,,,0,,,
27/07/2023 13:54:55,70,0,0,0,0,N,,,0,,,
27/07/2023 13:54:55,70,0,0,0,0,N,,,0,,,
27/07/2023 13:55:10,71,0,0,0,0,N,,,0,,,
27/07/2023 13:55:10,72,0,0,0,0,N,,,0,,,
27/07/2023 13:55:10,72,0,0,0,0,N,,,0,,,
27/07/2023 13:56:38,73,1,1,0,0,P,,,1,,,
27/07/2023 13:59:14,74,0,0,0,0,N,,,0,,,
27/07/2023 13:59:14,74,0,0,0,0,N,,,0,,,
27/07/2023 13:59:23,75,0,0,0,0,N,,,0,,,
27/07/2023 13:59:45,76,0,0,0,0,N,,,0,,,
27/07/2023 13:59:50,77,0,0,0,0,N,,,0,,,
27/07/2023 13:59:56,78,0,0,0,0,N,,,0,,,
28/07/2023 12:01:48,79,0,0,0,0,N,,,0,,,
28/07/2023 12:02:10,80,0,0,0,0,N,,,0,,,
28/07/2023 12:02:38,81,0,0,0,0,N,,,0,,,
28/07/2023 12:02:45,82,0,0,0,0,N,,,0,,,
28/07/2023 12:03:09,83,1,1,0,0,P,,,0,,,
28/07/2023 12:04:04,84,0,0,0,0,N,,,0,,,
28/07/2023 12:04:04,84,0,0,0,0,N,,,0,,,
28/07/2023 12:04:40,85,0,0,0,0,N,,,0,,,
28/07/2023 12:04:48,86,0,0,0,0,N,,,0,,,
28/07/2023 12:05:49,87,0,0,0,0,N,,,0,,,
28/07/2023 12:05:49,87,0,0,0,0,N,,,0,,,
28/07/2023 12:07:26,88,0,0,0,0,N,,,0,,,
28/07/2023 12:13:47,89,0,0,0,0,N,,,0,,,
28/07/2023 12:15:03,90,1,0,1,0,N,,,0,,,
28/07/2023 12:16:31,91,0,0,0,0,N,,,0,,,
28/07/2023 12:18:03,92,0,0,0,0,N,,,0,,,
28/07/2023 12:22:36,93,1,1,1,0,N,,,0,,,
28/07/2023 12:23:57,94,0,0,0,0,N,,,0,,,
28/07/2023 12:24:44,95,0,0,0,0,N,,,0,,,
28/07/2023 12:26:07,96,0,0,0,0,N,,,0,,,
28/07/2023 12:26:07,96,0,0,0,0,N,,,0,,,
28/07/2023 12:26:48,97,0,0,0,0,N,,,0,,,
28/07/2023 12:29:15,98,0,0,0,0,N,,,0,,,
28/07/2023 12:29:15,98,0,0,0,0,N,,,0,,,
28/07/2023 12:30:26,99,0,0,0,0,N,,,0,,,
28/07/2023 12:31:11,100,0,0,0,0,N,,,0,,,
28/07/2023 12:31:18,101,0,0,0,0,N,,,0,,,
28/07/2023 12:31:47,102,0,0,0,0,N,,,0,,,
28/07/2023 12:32:36,103,0,0,0,0,N,,,0,,,
28/07/2023 12:32:36,103,0,0,0,0,N,,,0,,,
28/07/2023 12:33:05,104,0,0,0,0,N,,,0,,,
28/07/2023 12:35:36,105,0,0,0,0,N,,,0,,,
28/07/2023 12:37:52,106,0,0,0,0,N,,,0,,,
28/07/2023 12:39:48,107,0,0,0,0,N,,,0,,,
28/07/2023 12:40:51,108,0,0,0,0,N,,,0,,,
28/07/2023 12:44:36,109,0,0,0,0,N,,,0,,,
28/07/2023 12:46:54,110,0,0,0,0,N,,,0,,,
28/07/2023 12:48:11,111,0,0,0,0,N,,,0,,,
28/07/2023 12:49:33,112,0,0,0,0,N,,,0,,,
28/07/2023 12:49:42,113,0,0,0,0,N,,,0,,,
28/07/2023 12:51:29,114,0,0,0,0,N,,,0,,,
28/07/2023 12:51:29,114,0,0,0,0,N,,,0,,,
28/07/2023 12:54:30,115,0,0,0,0,N,,,0,,,
28/07/2023 12:54:30,115,0,0,0,0,N,,,0,,,
28/07/2023 12:56:08,116,0,0,0,0,N,,,0,,,
28/07/2023 12:56:14,117,0,0,0,0,N,,,0,,,
28/07/2023 12:56:16,118,0,0,0,0,N,,,0,,,
28/07/2023 12:56:29,119,0,0,0,0,N,,,0,,,
28/07/2023 12:57:12,120,0,0,0,0,N,,,0,,,
28/07/2023 12:57:17,121,0,0,0,1,N,,,0,,,
28/07/2023 12:57:38,122,0,0,0,0,N,,,0,,,
28/07/2023 12:58:18,123,0,0,0,0,N,,,0,,,
28/07/2023 12:58:20,124,0,0,0,0,N,,,0,,,
28/07/2023 12:58:38,125,0,0,0,0,N,,,0,,,
28/07/2023 12:58:42,126,0,0,0,0,N,,,0,,,
28/07/2023 12:58:43,127,0,0,0,0,N,,,0,,,
28/07/2023 12:59:16,128,0,0,0,0,N,,,0,,,
28/07/2023 12:59:44,129,0,0,0,0,N,,,0,,,
28/07/2023 12:59:59,130,0,0,0,0,N,,,0,,,
28/07/2023 13:00:10,131,0,0,0,0,N,,,0,,,
28/07/2023 13:00:12,132,0,0,0,0,N,,,0,,,
28/07/2023 13:00:26,133,0,0,0,0,N,,,0,,,
28/07/2023 13:00:26,133,0,0,0,0,N,,,0,,,
28/07/2023 13:01:05,134,0,0,0,0,N,,,0,,,
28/07/2023 13:01:15,135,0,0,0,0,N,,,0,,,
28/07/2023 13:02:08,136,0,0,0,0,N,,,0,,,
28/07/2023 13:02:44,137,0,0,0,0,N,,,0,,,
28/07/2023 13:02:49,138,1,1,1,0,P,,,1,,,
28/07/2023 13:03:22,139,0,0,0,0,N,,,0,,,
28/07/2023 13:13:08,140,0,0,0,0,N,,,0,,,
28/07/2023 13:14:06,141,0,0,0,0,N,,,0,,,
28/07/2023 13:14:50,142,0,0,0,0,P,,,0,,,
28/07/2023 13:15:09,143,0,0,0,0,N,,,0,,,
28/07/2023 13:17:50,144,0,0,0,0,N,,,0,,,
28/07/2023 13:18:09,145,0,0,0,0,N,,,0,,,
28/07/2023 13:20:14,146,0,0,0,0,N,,,0,,,
28/07/2023 13:21:53,147,0,0,0,0,N,,,0,,,
28/07/2023 13:22:13,148,0,0,0,0,N,,,0,,,
28/07/2023 13:24:53,149,0,0,0,0,N,,,0,,,
